Date,Profit/Loss,equity,returnPerc
10/8/2020 0:00,-9700,1413100,-0.006817543
10/26/2020 0:00,-29100,1384000,-0.020593022
11/10/2020 0:00,-28000,1356000,-0.020231214
3/19/2021 0:00,195500,1551500,0.144174041
4/15/2021 0:00,-20200,1531300,-0.013019658
5/20/2021 0:00,-15800,1515500,-0.01031803
5/25/2021 0:00,-41300,1474200,-0.027251732
7/16/2021 0:00,60200,1534400,0.040835708
7/29/2021 0:00,-20600,1513800,-0.013425443
8/4/2021 0:00,-54700,1459100,-0.036134232
8/30/2021 0:00,-13100,1446000,-0.008978137
11/5/2021 0:00,128500,1574500,0.088865837
11/10/2021 0:00,-700,1573800,-0.000444586
11/12/2021 0:00,-5500,1568300,-0.003494726
12/23/2021 0:00,57700,1626000,0.03679143
3/16/2022 0:00,236000,1862000,0.145141451
3/22/2022 0:00,-155600,1706400,-0.083566058
4/1/2022 0:00,-100000,1606400,-0.058602907
4/18/2022 0:00,-89100,1517300,-0.055465637
4/26/2022 0:00,-59100,1458200,-0.038950768
4/29/2022 0:00,-29900,1428300,-0.020504732
6/21/2022 0:00,98200,1526500,0.068753063
8/24/2022 0:00,111900,1638400,0.073304946
9/1/2022 0:00,-82800,1555600,-0.050537109
10/5/2022 0:00,-16000,1539600,-0.01028542
10/19/2022 0:00,-23100,1516500,-0.015003897
10/27/2022 0:00,-45600,1470900,-0.030069238
11/15/2022 0:00,-21600,1449300,-0.014684887
12/22/2022 0:00,88800,1538100,0.061270958
1/5/2023 0:00,-38200,1499900,-0.024835836
1/13/2023 0:00,-61900,1438000,-0.041269418
2/1/2023 0:00,-37200,1400800,-0.025869263
2/13/2023 0:00,-37300,1363500,-0.026627641
2/20/2023 0:00,-29700,1333800,-0.021782178
3/3/2023 0:00,-22700,1311100,-0.017019043
3/10/2023 0:00,-30000,1281100,-0.02288155
