Date,
2008-04-12 00:00:00-05:00,0
2008-04-13 00:00:00-05:00,0
2008-04-14 00:00:00-05:00,0.008640802
2008-04-15 00:00:00-05:00,0
2008-04-16 00:00:00-05:00,0
2008-04-17 00:00:00-05:00,0.042148548
2008-04-18 00:00:00-05:00,-0.017591451
2008-04-19 00:00:00-05:00,0
2008-04-20 00:00:00-05:00,0
2008-04-21 00:00:00-05:00,-0.0050205
2008-04-22 00:00:00-05:00,-0.005382222
2008-04-23 00:00:00-05:00,0
2008-04-24 00:00:00-05:00,0
2008-04-25 00:00:00-05:00,0
2008-04-26 00:00:00-05:00,0
2008-04-27 00:00:00-05:00,0
2008-04-28 00:00:00-05:00,0
2008-04-29 00:00:00-05:00,0.021983597
2008-04-30 00:00:00-05:00,-0.004633077
2008-05-01 00:00:00-05:00,0
2008-05-02 00:00:00-05:00,0.012634029
2008-05-03 00:00:00-05:00,0
2008-05-04 00:00:00-05:00,0
2008-05-05 00:00:00-05:00,0
2008-05-06 00:00:00-05:00,0.001477469
2008-05-07 00:00:00-05:00,-0.010163101
2008-05-08 00:00:00-05:00,0.00943943
2008-05-09 00:00:00-05:00,-0.013780658
2008-05-10 00:00:00-05:00,0
2008-05-11 00:00:00-05:00,0
2008-05-12 00:00:00-05:00,-0.000998087
2008-05-13 00:00:00-05:00,0.009324786
2008-05-14 00:00:00-05:00,-0.010228491
2008-05-15 00:00:00-05:00,-0.004667056
2008-05-16 00:00:00-05:00,-0.00954534
2008-05-17 00:00:00-05:00,0
2008-05-18 00:00:00-05:00,0
2008-05-19 00:00:00-05:00,-0.015893144
2008-05-20 00:00:00-05:00,0.008246714
2008-05-21 00:00:00-05:00,-0.015676919
2008-05-22 00:00:00-05:00,0.003116074
2008-05-23 00:00:00-05:00,-0.017948054
2008-05-24 00:00:00-05:00,0
2008-05-25 00:00:00-05:00,0
2008-05-26 00:00:00-05:00,0
2008-05-27 00:00:00-05:00,0.00123012
2008-05-28 00:00:00-05:00,0.003861343
2008-05-29 00:00:00-05:00,-0.005594895
2008-05-30 00:00:00-05:00,0
2008-05-31 00:00:00-05:00,0
2008-06-01 00:00:00-05:00,0
2008-06-02 00:00:00-05:00,0
2008-06-03 00:00:00-05:00,0.010901099
2008-06-04 00:00:00-05:00,-0.025393512
2008-06-05 00:00:00-05:00,0
2008-06-06 00:00:00-05:00,0.008566075
2008-06-07 00:00:00-05:00,0
