"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
04/11/2013,17:00,104.79,104.87,103.29,103.74,222439,144104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.50,0.00,0.00,0.00
04/12/2013,17:00,103.72,103.75,100.50,101.52,325580,132178,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.40,0.00,0.00,0.00
04/15/2013,17:00,101.18,101.21,97.43,98.94,362524,117559,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.16,0.00,0.00,0.00
04/16/2013,17:00,97.65,99.19,96.29,98.95,287410,94854,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.81,0.00,0.00,0.00
04/17/2013,17:00,99.03,99.32,96.29,96.91,294274,66594,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.36,0.00,0.00,0.00
04/18/2013,17:00,96.54,98.72,95.84,97.94,235083,321103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.86,0.00,0.00,0.00
04/19/2013,17:00,98.58,99.00,97.76,98.21,231562,331410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.38,0.00,0.00,0.00
04/22/2013,17:00,98.14,99.42,97.63,99.13,238730,333624,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.94,0.00,0.00,0.00
04/23/2013,17:00,99.22,99.54,97.74,99.12,288801,326264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.54,0.00,0.00,0.00
04/24/2013,17:00,99.54,101.66,99.15,101.37,257736,327143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.25,5.22,0.00,0.00
04/25/2013,17:00,101.52,103.81,101.05,103.58,270121,322478,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.10,15.76,0.00,0.00
04/26/2013,17:00,103.18,103.52,102.00,102.94,240966,314682,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.06,29.70,0.00,0.00
04/29/2013,17:00,102.64,104.63,102.37,104.44,214608,308591,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,101.12,45.01,0.00,0.00
