#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
1,Buy,4/10/2013 11:00,Easy_LE,@ES,"$1,497.00 ",$0.00 ,4,$900.00 ,0.30%,"$1,250.00 ",83.33%,,$0.00 ,$0.00 
,Sell,4/11/2013 10:00,_LX..,@ES,"$1,501.50 ",,$900.00 ,$900.00 ,,($250.00),76.67%,60.00%,$0.00 ,$0.00 
2,Buy,4/16/2013 11:30,Easy_LE,@ES,"$1,479.50 ",$0.00 ,4,"($1,350.00)",-0.46%,"$1,800.00 ",48.00%,,$0.00 ,$0.00 
,Sell,4/17/2013 10:00,_LX..,@ES,"$1,472.75 ",,"($1,350.00)",($450.00),,"($1,950.00)",16.00%,-36.00%,$0.00 ,$0.00 
3,Buy,4/18/2013 14:00,Easy_LE,@ES,"$1,457.50 ",$0.00 ,4,"$2,200.00 ",0.75%,"$3,100.00 ",63.27%,,$0.00 ,$0.00 
,Sell,4/22/2013 10:00,_LX..,@ES,"$1,468.50 ",,"$2,200.00 ","$1,750.00 ",,"($1,800.00)",81.63%,44.90%,$0.00 ,$0.00 
4,Buy,4/29/2013 12:30,Easy_LE,@ES,"$1,507.25 ",$0.00 ,4,"($1,200.00)",-0.40%,$550.00 ,29.73%,,$0.00 ,$0.00 
,Sell,4/30/2013 10:00,_LX..,@ES,"$1,501.25 ",,"($1,200.00)",$550.00 ,,"($1,300.00)",5.41%,-64.86%,$0.00 ,$0.00 
5,Buy,4/30/2013 13:30,Easy_LE,@ES,"$1,508.50 ",$0.00 ,4,($750.00),-0.25%,$350.00 ,26.92%,,$0.00 ,$0.00 
,Sell,5/1/2013 10:00,Easy_SX,@ES,"$1,504.75 ",,($750.00),($200.00),,($950.00),15.38%,-57.69%,$0.00 ,$0.00 
6,Buy,5/2/2013 12:00,Easy_LE,@ES,"$1,510.25 ",$0.00 ,4,"$3,450.00 ",1.14%,"$4,350.00 ",90.63%,,$0.00 ,$0.00 
,Sell,5/6/2013 10:00,_LX..,@ES,"$1,527.50 ",,"$3,450.00 ","$3,250.00 ",,($450.00),81.25%,71.88%,$0.00 ,$0.00 
7,Buy,5/7/2013 14:00,Easy_LE,@ES,"$1,538.50 ",$0.00 ,4,$800.00 ,0.26%,"$1,050.00 ",70.00%,,$0.00 ,$0.00 
,Sell,5/8/2013 11:00,Easy_SX,@ES,"$1,542.50 ",,$800.00 ,"$4,050.00 ",,($450.00),83.33%,53.33%,$0.00 ,$0.00 
8,Buy,5/10/2013 15:30,Easy_LE,@ES,"$1,543.75 ",$0.00 ,4,($350.00),-0.11%,$800.00 ,59.26%,,$0.00 ,$0.00 
,Sell,5/13/2013 10:00,_LX..,@ES,"$1,542.00 ",,($350.00),"$3,700.00 ",,($550.00),14.81%,-25.93%,$0.00 ,$0.00 
9,Buy,5/14/2013 11:30,Easy_LE,@ES,"$1,561.75 ",$0.00 ,4,$450.00 ,0.14%,$950.00 ,76.00%,,$0.00 ,$0.00 
,Sell,5/15/2013 10:00,_LX..,@ES,"$1,564.00 ",,$450.00 ,"$4,150.00 ",,($300.00),60.00%,36.00%,$0.00 ,$0.00 
10,Buy,5/17/2013 11:00,Easy_LE,@ES,"$1,573.00 ",$0.00 ,4,"$1,400.00 ",0.45%,"$3,100.00 ",88.57%,,$0.00 ,$0.00 
,Sell,5/21/2013 10:30,Easy_SX,@ES,"$1,580.00 ",,"$1,400.00 ","$5,550.00 ",,($400.00),51.43%,40.00%,$0.00 ,$0.00 
11,Buy,5/22/2013 11:00,Easy_LE,@ES,"$1,589.75 ",$0.00 ,4,"($2,850.00)",-0.90%,"$1,950.00 ",36.79%,,$0.00 ,$0.00 
,Sell,5/22/2013 14:30,_LX..,@ES,"$1,575.50 ",,"($2,850.00)","$2,700.00 ",,"($3,350.00)",9.43%,-53.77%,$0.00 ,$0.00 
12,Buy,5/28/2013 10:00,Easy_LE,@ES,"$1,587.75 ",$0.00 ,4,"($4,400.00)",-1.39%,$550.00 ,9.65%,,$0.00 ,$0.00 
,Sell,5/29/2013 10:00,_LX..,@ES,"$1,565.75 ",,"($4,400.00)","($1,700.00)",,"($5,150.00)",13.16%,-77.19%,$0.00 ,$0.00 
13,Buy,5/30/2013 12:00,Easy_LE,@ES,"$1,575.25 ",$0.00 ,4,"($1,350.00)",-0.43%,$650.00 ,21.31%,,$0.00 ,$0.00 
,Sell,5/31/2013 10:00,_LX..,@ES,"$1,568.50 ",,"($1,350.00)","($3,050.00)",,"($2,400.00)",34.43%,-44.26%,$0.00 ,$0.00 
14,Buy,6/4/2013 10:30,Easy_LE,@ES,"$1,561.00 ",$0.00 ,4,"($3,450.00)",-1.11%,$500.00 ,10.31%,,$0.00 ,$0.00 
,Sell,6/4/2013 14:30,c_LX...,@ES,"$1,543.75 ",,"($3,450.00)","($6,500.00)",,"($4,350.00)",18.56%,-71.13%,$0.00 ,$0.00 
15,Buy,6/6/2013 11:00,Easy_LE,@ES,"$1,528.75 ",$0.00 ,2,"$3,100.00 ",2.03%,"$3,750.00 ",72.12%,,$0.00 ,$0.00 
,Sell,6/10/2013 10:00,_LX..,@ES,"$1,559.75 ",,"$3,100.00 ","($3,400.00)",,"($1,450.00)",87.50%,59.62%,$0.00 ,$0.00 
16,Buy,6/6/2013 11:00,Easy_LE,@ES,"$1,528.75 ",$0.00 ,2,"$3,625.00 ",2.37%,"$3,625.00 ",71.43%,,$0.00 ,$0.00 
,Sell,6/10/2013 10:00,T1_LX...,@ES,"$1,565.00 ",,"$3,625.00 ",$225.00 ,,"($1,450.00)",100.00%,71.43%,$0.00 ,$0.00 
17,Buy,6/13/2013 11:30,Easy_LE,@ES,"$1,536.00 ",$0.00 ,4,"$2,350.00 ",0.76%,"$4,550.00 ",91.00%,,$0.00 ,$0.00 
,Sell,6/14/2013 11:00,_LX..,@ES,"$1,547.75 ",,"$2,350.00 ","$2,575.00 ",,($450.00),56.00%,47.00%,$0.00 ,$0.00 
18,Buy,6/21/2013 14:00,Easy_LE,@ES,"$1,504.00 ",$0.00 ,4,"($3,950.00)",-1.31%,"$2,350.00 ",36.15%,,$0.00 ,$0.00 
,Sell,6/24/2013 10:00,_LX..,@ES,"$1,484.25 ",,"($3,950.00)","($1,375.00)",,"($4,150.00)",3.08%,-60.77%,$0.00 ,$0.00 
19,Buy,6/25/2013 11:00,Easy_LE,@ES,"$1,503.50 ",$0.00 ,4,"$3,200.00 ",1.06%,"$6,900.00 ",89.61%,,$0.00 ,$0.00 
,Sell,6/28/2013 10:00,_LX..,@ES,"$1,519.50 ",,"$3,200.00 ","$1,825.00 ",,($800.00),51.95%,41.56%,$0.00 ,$0.00 
20,Buy,7/8/2013 10:30,Easy_LE,@ES,"$1,560.50 ",$0.00 ,4,"$2,100.00 ",0.67%,"$2,450.00 ",69.01%,,$0.00 ,$0.00 
,Sell,7/10/2013 10:00,_LX..,@ES,"$1,571.00 ",,"$2,100.00 ","$3,925.00 ",,"($1,100.00)",90.14%,59.15%,$0.00 ,$0.00 
21,Buy,7/11/2013 11:00,Easy_LE,@ES,"$1,587.75 ",$0.00 ,4,"$1,100.00 ",0.35%,"$1,550.00 ",88.57%,,$0.00 ,$0.00 
,Sell,7/12/2013 10:00,_LX..,@ES,"$1,593.25 ",,"$1,100.00 ","$5,025.00 ",,($200.00),74.29%,62.86%,$0.00 ,$0.00 
22,Buy,7/15/2013 15:30,Easy_LE,@ES,"$1,601.75 ",$0.00 ,4,($650.00),-0.20%,$300.00 ,30.00%,,$0.00 ,$0.00 
,Sell,7/16/2013 10:00,Easy_SX,@ES,"$1,598.50 ",,($650.00),"$4,375.00 ",,($700.00),5.00%,-65.00%,$0.00 ,$0.00 
23,Buy,7/17/2013 12:00,Easy_LE,@ES,"$1,598.25 ",$0.00 ,4,"$1,150.00 ",0.36%,"$2,800.00 ",88.89%,,$0.00 ,$0.00 
,Sell,7/19/2013 10:00,_LX..,@ES,"$1,604.00 ",,"$1,150.00 ","$5,525.00 ",,($350.00),47.62%,36.51%,$0.00 ,$0.00 
24,Buy,7/23/2013 10:00,Easy_LE,@ES,"$1,615.75 ",$0.00 ,4,"($1,700.00)",-0.53%,$500.00 ,20.41%,,$0.00 ,$0.00 
,Sell,7/24/2013 10:30,Easy_SX,@ES,"$1,607.25 ",,"($1,700.00)","$3,825.00 ",,"($1,950.00)",10.20%,-69.39%,$0.00 ,$0.00 
25,Buy,7/25/2013 15:30,Easy_LE,@ES,"$1,608.00 ",$0.00 ,4,"($2,400.00)",-0.75%,$450.00 ,14.06%,,$0.00 ,$0.00 
,Sell,7/26/2013 11:00,c_LX...,@ES,"$1,596.00 ",,"($2,400.00)","$1,425.00 ",,"($2,750.00)",10.94%,-75.00%,$0.00 ,$0.00 
26,Buy,7/30/2013 11:00,Easy_LE,@ES,"$1,607.50 ",$0.00 ,4,"$2,750.00 ",0.86%,"$4,000.00 ",75.47%,,$0.00 ,$0.00 
,Sell,8/2/2013 10:00,_LX..,@ES,"$1,621.25 ",,"$2,750.00 ","$4,175.00 ",,"($1,300.00)",76.42%,51.89%,$0.00 ,$0.00 
27,Buy,8/8/2013 10:30,Easy_LE,@ES,"$1,613.25 ",$0.00 ,4,"($1,050.00)",-0.33%,"$1,500.00 ",51.72%,,$0.00 ,$0.00 
,Sell,8/9/2013 11:30,_LX..,@ES,"$1,608.00 ",,"($1,050.00)","$3,125.00 ",,"($1,400.00)",12.07%,-36.21%,$0.00 ,$0.00 
28,Buy,8/16/2013 12:30,Easy_LE,@ES,"$1,580.75 ",$0.00 ,4,"($1,600.00)",-0.51%,$150.00 ,7.14%,,$0.00 ,$0.00 
,Sell,8/19/2013 14:30,c_LX...,@ES,"$1,572.75 ",,"($1,600.00)","$1,525.00 ",,"($1,950.00)",16.67%,-76.19%,$0.00 ,$0.00 
29,Buy,8/20/2013 10:30,Easy_LE,@ES,"$1,572.00 ",$0.00 ,4,($400.00),-0.13%,"$1,700.00 ",64.15%,,$0.00 ,$0.00 
,Sell,8/21/2013 10:00,_LX..,@ES,"$1,570.00 ",,($400.00),"$1,125.00 ",,($950.00),20.75%,-15.09%,$0.00 ,$0.00 
30,Buy,8/22/2013 10:30,Easy_LE,@ES,"$1,575.50 ",$0.00 ,4,$850.00 ,0.27%,"$1,700.00 ",66.67%,,$0.00 ,$0.00 
,Sell,8/23/2013 10:00,_LX..,@ES,"$1,579.75 ",,$850.00 ,"$1,975.00 ",,($850.00),66.67%,33.33%,$0.00 ,$0.00 
31,Buy,8/28/2013 13:30,Easy_LE,@ES,"$1,562.00 ",$0.00 ,4,($550.00),-0.18%,"$1,300.00 ",39.39%,,$0.00 ,$0.00 
,Sell,8/30/2013 10:00,_LX..,@ES,"$1,559.25 ",,($550.00),"$1,425.00 ",,"($2,000.00)",43.94%,-16.67%,$0.00 ,$0.00 
32,Buy,9/3/2013 12:00,Easy_LE,@ES,"$1,562.00 ",$0.00 ,4,"$2,950.00 ",0.94%,"$4,000.00 ",72.73%,,$0.00 ,$0.00 
,Sell,9/5/2013 11:00,_LX..,@ES,"$1,576.75 ",,"$2,950.00 ","$4,375.00 ",,"($1,500.00)",80.91%,53.64%,$0.00 ,$0.00 
33,Buy,9/6/2013 12:00,Easy_LE,@ES,"$1,583.00 ",$0.00 ,4,"$4,450.00 ",1.41%,"$4,750.00 ",78.51%,,$0.00 ,$0.00 
,Sell,9/10/2013 15:00,Easy_SX,@ES,"$1,605.25 ",,"$4,450.00 ","$8,825.00 ",,"($1,300.00)",95.04%,73.55%,$0.00 ,$0.00 
34,Buy,9/13/2013 13:30,Easy_LE,@ES,"$1,611.25 ",$0.00 ,4,"$3,350.00 ",1.04%,"$3,900.00 ",89.66%,,$0.00 ,$0.00 
,Sell,9/18/2013 10:00,_LX..,@ES,"$1,628.00 ",,"$3,350.00 ","$12,175.00 ",,($450.00),87.36%,77.01%,$0.00 ,$0.00 
35,Buy,9/18/2013 16:00,Easy_LE,@ES,"$1,649.00 ",$0.00 ,4,($100.00),-0.03%,"$1,000.00 ",80.00%,,$0.00 ,$0.00 
,Sell,9/19/2013 11:30,c_LX...,@ES,"$1,648.50 ",,($100.00),"$12,075.00 ",,($250.00),12.00%,-8.00%,$0.00 ,$0.00 
36,Buy,9/24/2013 11:30,Easy_LE,@ES,"$1,627.00 ",$0.00 ,4,"($2,800.00)",-0.86%,$850.00 ,21.52%,,$0.00 ,$0.00 
,Sell,9/27/2013 10:00,_LX..,@ES,"$1,613.00 ",,"($2,800.00)","$9,275.00 ",,"($3,100.00)",7.59%,-70.89%,$0.00 ,$0.00 
37,Buy,10/1/2013 11:00,Easy_LE,@ES,"$1,617.25 ",$0.00 ,4,"($1,750.00)",-0.54%,$700.00 ,25.00%,,$0.00 ,$0.00 
,Sell,10/2/2013 10:00,_LX..,@ES,"$1,608.50 ",,"($1,750.00)","$7,525.00 ",,"($2,100.00)",12.50%,-62.50%,$0.00 ,$0.00 
38,Buy,10/4/2013 11:30,Easy_LE,@ES,"$1,606.50 ",$0.00 ,4,($850.00),-0.26%,"$1,950.00 ",52.00%,,$0.00 ,$0.00 
,Sell,10/7/2013 10:00,_LX..,@ES,"$1,602.25 ",,($850.00),"$6,675.00 ",,"($1,800.00)",25.33%,-22.67%,$0.00 ,$0.00 
39,Buy,10/9/2013 13:30,Easy_LE,@ES,"$1,583.75 ",$0.00 ,2,"$3,500.00 ",2.21%,"$3,500.00 ",86.96%,,$0.00 ,$0.00 
,Sell,10/11/2013 10:00,T1_LX...,@ES,"$1,618.75 ",,"$3,500.00 ","$10,175.00 ",,($525.00),100.00%,86.96%,$0.00 ,$0.00 
40,Buy,10/9/2013 13:30,Easy_LE,@ES,"$1,583.75 ",$0.00 ,2,"$3,675.00 ",2.32%,"$3,675.00 ",87.50%,,$0.00 ,$0.00 
,Sell,10/11/2013 10:00,_LX..,@ES,"$1,620.50 ",,"$3,675.00 ","$13,850.00 ",,($525.00),100.00%,87.50%,$0.00 ,$0.00 
41,Buy,10/16/2013 11:30,Easy_LE,@ES,"$1,643.00 ",$0.00 ,4,($300.00),-0.09%,$850.00 ,50.00%,,$0.00 ,$0.00 
,Sell,10/17/2013 10:00,_LX..,@ES,"$1,641.50 ",,($300.00),"$13,550.00 ",,($850.00),32.35%,-17.65%,$0.00 ,$0.00 
42,Buy,10/22/2013 12:00,Easy_LE,@ES,"$1,678.75 ",$0.00 ,4,"($2,200.00)",-0.66%,$950.00 ,29.23%,,$0.00 ,$0.00 
,Sell,10/23/2013 10:00,_LX..,@ES,"$1,667.75 ",,"($2,200.00)","$11,350.00 ",,"($2,300.00)",3.08%,-67.69%,$0.00 ,$0.00 
43,Buy,10/29/2013 13:00,Easy_LE,@ES,"$1,694.75 ",$0.00 ,4,($100.00),-0.03%,"$1,200.00 ",80.00%,,$0.00 ,$0.00 
,Sell,10/30/2013 11:30,Easy_SX,@ES,"$1,694.25 ",,($100.00),"$11,250.00 ",,($300.00),13.33%,-6.67%,$0.00 ,$0.00 
44,Buy,11/1/2013 10:30,Easy_LE,@ES,"$1,684.25 ",$0.00 ,4,"($1,200.00)",-0.36%,$550.00 ,29.73%,,$0.00 ,$0.00 
,Sell,11/1/2013 12:00,c_LX...,@ES,"$1,678.25 ",,"($1,200.00)","$10,050.00 ",,"($1,300.00)",5.41%,-64.86%,$0.00 ,$0.00 
45,Buy,11/4/2013 10:30,Easy_LE,@ES,"$1,689.50 ",$0.00 ,4,"($1,250.00)",-0.37%,$900.00 ,36.73%,,$0.00 ,$0.00 
,Sell,11/5/2013 10:00,_LX..,@ES,"$1,683.25 ",,"($1,250.00)","$8,800.00 ",,"($1,550.00)",12.24%,-51.02%,$0.00 ,$0.00 
46,Buy,11/6/2013 11:30,Easy_LE,@ES,"$1,694.00 ",$0.00 ,4,"($1,850.00)",-0.55%,"$1,550.00 ",40.26%,,$0.00 ,$0.00 
,Sell,11/7/2013 11:30,c_LX...,@ES,"$1,684.75 ",,"($1,850.00)","$6,950.00 ",,"($2,300.00)",11.69%,-48.05%,$0.00 ,$0.00 
47,Buy,11/8/2013 13:00,Easy_LE,@ES,"$1,690.00 ",$0.00 ,4,"$1,150.00 ",0.34%,"$2,100.00 ",85.71%,,$0.00 ,$0.00 
,Sell,11/12/2013 11:30,c_LX...,@ES,"$1,695.75 ",,"$1,150.00 ","$8,100.00 ",,($350.00),61.22%,46.94%,$0.00 ,$0.00 
48,Buy,11/13/2013 13:30,Easy_LE,@ES,"$1,701.75 ",$0.00 ,4,"$3,200.00 ",0.94%,"$5,650.00 ",95.76%,,$0.00 ,$0.00 
,Sell,11/18/2013 15:30,Easy_SX,@ES,"$1,717.75 ",,"$3,200.00 ","$11,300.00 ",,($250.00),58.47%,54.24%,$0.00 ,$0.00 
49,Buy,11/20/2013 12:30,Easy_LE,@ES,"$1,720.00 ",$0.00 ,4,"($2,350.00)",-0.68%,$100.00 ,3.17%,,$0.00 ,$0.00 
,Sell,11/20/2013 15:30,c_LX...,@ES,"$1,708.25 ",,"($2,350.00)","$8,950.00 ",,"($3,050.00)",22.22%,-74.60%,$0.00 ,$0.00 
50,Buy,11/21/2013 10:30,Easy_LE,@ES,"$1,717.75 ",$0.00 ,4,"$1,500.00 ",0.44%,"$1,650.00 ",100.00%,,$0.00 ,$0.00 
,Sell,11/22/2013 10:00,_LX..,@ES,"$1,725.25 ",,"$1,500.00 ","$10,450.00 ",,$0.00 ,90.91%,90.91%,$0.00 ,$0.00 
51,Buy,11/26/2013 15:30,Easy_LE,@ES,"$1,736.50 ",$0.00 ,4,($750.00),-0.22%,"$1,250.00 ",55.56%,,$0.00 ,$0.00 
,Sell,12/2/2013 10:00,_LX..,@ES,"$1,732.75 ",,($750.00),"$9,700.00 ",,"($1,000.00)",11.11%,-33.33%,$0.00 ,$0.00 
52,Buy,12/6/2013 10:30,Easy_LE,@ES,"$1,730.00 ",$0.00 ,4,"$1,600.00 ",0.46%,"$2,350.00 ",77.05%,,$0.00 ,$0.00 
,Sell,12/9/2013 10:30,_LX..,@ES,"$1,738.00 ",,"$1,600.00 ","$11,300.00 ",,($700.00),75.41%,52.46%,$0.00 ,$0.00 
53,Buy,12/12/2013 15:30,Easy_LE,@ES,"$1,711.00 ",$0.00 ,4,$600.00 ,0.18%,"$2,350.00 ",56.63%,,$0.00 ,$0.00 
,Sell,12/17/2013 10:00,_LX..,@ES,"$1,714.00 ",,$600.00 ,"$11,900.00 ",,"($1,800.00)",57.83%,14.46%,$0.00 ,$0.00 
54,Buy,12/18/2013 15:00,Easy_LE,@ES,"$1,729.75 ",$0.00 ,4,"$1,300.00 ",0.38%,"$2,500.00 ",87.72%,,$0.00 ,$0.00 
,Sell,12/19/2013 10:00,_LX..,@ES,"$1,736.25 ",,"$1,300.00 ","$13,200.00 ",,($350.00),57.89%,45.61%,$0.00 ,$0.00 
55,Buy,12/20/2013 11:00,Easy_LE,@ES,"$1,747.75 ",$0.00 ,4,"$4,400.00 ",1.26%,"$4,500.00 ",97.83%,,$0.00 ,$0.00 
,Sell,12/26/2013 11:30,Easy_SX,@ES,"$1,769.75 ",,"$4,400.00 ","$17,600.00 ",,($100.00),97.83%,95.65%,$0.00 ,$0.00 
56,Buy,12/31/2013 11:00,Easy_LE,@ES,"$1,777.25 ",$0.00 ,4,"($1,600.00)",-0.45%,$700.00 ,25.00%,,$0.00 ,$0.00 
,Sell,1/2/2014 10:00,_LX..,@ES,"$1,769.25 ",,"($1,600.00)","$16,000.00 ",,"($2,100.00)",17.86%,-57.14%,$0.00 ,$0.00 
57,Buy,1/3/2014 12:30,Easy_LE,@ES,"$1,762.00 ",$0.00 ,4,($950.00),-0.27%,"$1,400.00 ",45.90%,,$0.00 ,$0.00 
,Sell,1/6/2014 16:00,Easy_SX,@ES,"$1,757.25 ",,($950.00),"$15,050.00 ",,"($1,650.00)",22.95%,-31.15%,$0.00 ,$0.00 
58,Buy,1/7/2014 10:00,Easy_LE,@ES,"$1,768.25 ",$0.00 ,4,($550.00),-0.16%,$600.00 ,32.43%,,$0.00 ,$0.00 
,Sell,1/8/2014 10:00,_LX..,@ES,"$1,765.50 ",,($550.00),"$14,500.00 ",,"($1,250.00)",37.84%,-29.73%,$0.00 ,$0.00 
59,Buy,1/10/2014 10:30,Easy_LE,@ES,"$1,767.75 ",$0.00 ,4,$550.00 ,0.16%,"$1,200.00 ",54.55%,,$0.00 ,$0.00 
,Sell,1/13/2014 10:00,_LX..,@ES,"$1,770.50 ",,$550.00 ,"$15,050.00 ",,"($1,000.00)",70.45%,25.00%,$0.00 ,$0.00 
60,Buy,1/14/2014 12:00,Easy_LE,@ES,"$1,764.25 ",$0.00 ,4,"$1,850.00 ",0.52%,"$3,600.00 ",96.00%,,$0.00 ,$0.00 
,Sell,1/16/2014 11:30,Easy_SX,@ES,"$1,773.50 ",,"$1,850.00 ","$16,900.00 ",,($150.00),53.33%,49.33%,$0.00 ,$0.00 
61,Buy,1/21/2014 11:00,Easy_LE,@ES,"$1,772.75 ",$0.00 ,4,"($2,450.00)",-0.69%,"$1,100.00 ",29.33%,,$0.00 ,$0.00 
,Sell,1/23/2014 10:00,_LX..,@ES,"$1,760.50 ",,"($2,450.00)","$14,450.00 ",,"($2,650.00)",5.33%,-65.33%,$0.00 ,$0.00 
62,Buy,1/28/2014 10:30,Easy_LE,@ES,"$1,721.50 ",$0.00 ,4,"($1,950.00)",-0.57%,$750.00 ,18.52%,,$0.00 ,$0.00 
,Sell,1/29/2014 10:00,_LX..,@ES,"$1,711.75 ",,"($1,950.00)","$12,500.00 ",,"($3,300.00)",33.33%,-48.15%,$0.00 ,$0.00 
63,Buy,1/30/2014 11:00,Easy_LE,@ES,"$1,719.75 ",$0.00 ,4,"($2,800.00)",-0.81%,"$2,100.00 ",36.21%,,$0.00 ,$0.00 
,Sell,1/31/2014 10:00,_LX..,@ES,"$1,705.75 ",,"($2,800.00)","$9,700.00 ",,"($3,700.00)",15.52%,-48.28%,$0.00 ,$0.00 
64,Buy,2/4/2014 12:00,Easy_LE,@ES,"$1,687.50 ",$0.00 ,4,"($2,100.00)",-0.62%,$500.00 ,16.95%,,$0.00 ,$0.00 
,Sell,2/5/2014 10:00,_LX..,@ES,"$1,677.00 ",,"($2,100.00)","$7,600.00 ",,"($2,450.00)",11.86%,-71.19%,$0.00 ,$0.00 
65,Buy,2/6/2014 10:30,Easy_LE,@ES,"$1,698.00 ",$0.00 ,4,"$6,100.00 ",1.80%,"$6,450.00 ",100.00%,,$0.00 ,$0.00 
,Sell,2/10/2014 10:00,_LX..,@ES,"$1,728.50 ",,"$6,100.00 ","$13,700.00 ",,$0.00 ,94.57%,94.57%,$0.00 ,$0.00 
66,Buy,2/11/2014 12:00,Easy_LE,@ES,"$1,746.25 ",$0.00 ,4,$850.00 ,0.24%,"$2,700.00 ",88.52%,,$0.00 ,$0.00 
,Sell,2/12/2014 12:00,Easy_SX,@ES,"$1,750.50 ",,$850.00 ,"$14,550.00 ",,($350.00),39.34%,27.87%,$0.00 ,$0.00 
67,Buy,2/13/2014 14:30,Easy_LE,@ES,"$1,760.50 ",$0.00 ,4,"$1,500.00 ",0.43%,"$1,750.00 ",77.78%,,$0.00 ,$0.00 
,Sell,2/14/2014 13:00,Easy_SX,@ES,"$1,768.00 ",,"$1,500.00 ","$16,050.00 ",,($500.00),88.89%,66.67%,$0.00 ,$0.00 
68,Buy,2/14/2014 13:30,Easy_LE,@ES,"$1,769.75 ",$0.00 ,4,"$1,500.00 ",0.42%,"$2,250.00 ",83.33%,,$0.00 ,$0.00 
,Sell,2/19/2014 11:30,Easy_SX,@ES,"$1,777.25 ",,"$1,500.00 ","$17,550.00 ",,($450.00),72.22%,55.56%,$0.00 ,$0.00 
69,Buy,2/20/2014 14:30,Easy_LE,@ES,"$1,773.50 ",$0.00 ,4,$500.00 ,0.14%,"$3,950.00 ",82.29%,,$0.00 ,$0.00 
,Sell,2/25/2014 10:00,_LX..,@ES,"$1,776.00 ",,$500.00 ,"$18,050.00 ",,($850.00),28.13%,10.42%,$0.00 ,$0.00 
70,Buy,2/26/2014 13:30,Easy_LE,@ES,"$1,784.75 ",$0.00 ,4,"($1,000.00)",-0.28%,$350.00 ,14.58%,,$0.00 ,$0.00 
,Sell,2/26/2014 16:00,c_LX...,@ES,"$1,779.75 ",,"($1,000.00)","$17,050.00 ",,"($2,050.00)",43.75%,-41.67%,$0.00 ,$0.00 
71,Buy,2/27/2014 14:30,Easy_LE,@ES,"$1,785.00 ",$0.00 ,4,($500.00),-0.14%,"$3,600.00 ",65.45%,,$0.00 ,$0.00 
,Sell,3/3/2014 10:00,_LX..,@ES,"$1,782.50 ",,($500.00),"$16,550.00 ",,"($1,900.00)",25.45%,-9.09%,$0.00 ,$0.00 
72,Buy,3/4/2014 11:30,Easy_LE,@ES,"$1,805.75 ",$0.00 ,4,$300.00 ,0.08%,"$1,100.00 ",64.71%,,$0.00 ,$0.00 
,Sell,3/5/2014 10:00,_LX..,@ES,"$1,807.25 ",,$300.00 ,"$16,850.00 ",,($600.00),52.94%,17.65%,$0.00 ,$0.00 
73,Buy,3/6/2014 14:00,Easy_LE,@ES,"$1,811.00 ",$0.00 ,4,$500.00 ,0.14%,"$2,050.00 ",93.18%,,$0.00 ,$0.00 
,Sell,3/7/2014 10:00,Easy_SX,@ES,"$1,813.50 ",,$500.00 ,"$17,350.00 ",,($150.00),29.55%,22.73%,$0.00 ,$0.00 
74,Buy,3/12/2014 14:00,Easy_LE,@ES,"$1,801.50 ",$0.00 ,4,"($2,350.00)",-0.65%,"$1,950.00 ",33.33%,,$0.00 ,$0.00 
,Sell,3/13/2014 13:30,c_LX...,@ES,"$1,789.75 ",,"($2,350.00)","$15,000.00 ",,"($3,900.00)",26.50%,-40.17%,$0.00 ,$0.00 
75,Buy,3/14/2014 11:00,Easy_LE,@ES,"$1,782.00 ",$0.00 ,4,"$5,500.00 ",1.54%,"$5,700.00 ",81.43%,,$0.00 ,$0.00 
,Sell,3/19/2014 10:00,_LX..,@ES,"$1,809.50 ",,"$5,500.00 ","$20,500.00 ",,"($1,300.00)",97.14%,78.57%,$0.00 ,$0.00 
76,Buy,3/21/2014 11:00,Easy_LE,@ES,"$1,816.25 ",$0.00 ,4,"($4,300.00)",-1.18%,$550.00 ,11.00%,,$0.00 ,$0.00 
,Sell,3/24/2014 10:30,_LX..,@ES,"$1,794.75 ",,"($4,300.00)","$16,200.00 ",,"($4,450.00)",3.00%,-86.00%,$0.00 ,$0.00 
77,Buy,3/25/2014 12:00,Easy_LE,@ES,"$1,795.00 ",$0.00 ,4,$500.00 ,0.14%,"$3,450.00 ",83.13%,,$0.00 ,$0.00 
,Sell,3/26/2014 14:00,Easy_SX,@ES,"$1,797.50 ",,$500.00 ,"$16,700.00 ",,($700.00),28.92%,12.05%,$0.00 ,$0.00 
78,Buy,3/28/2014 10:00,Easy_LE,@ES,"$1,798.50 ",$0.00 ,4,"$3,350.00 ",0.93%,"$4,450.00 ",68.99%,,$0.00 ,$0.00 
,Sell,4/1/2014 13:30,Easy_SX,@ES,"$1,815.25 ",,"$3,350.00 ","$20,050.00 ",,"($2,000.00)",82.95%,51.94%,$0.00 ,$0.00 
79,Buy,4/8/2014 12:00,Easy_LE,@ES,"$1,788.25 ",$0.00 ,4,"$2,100.00 ",0.59%,"$4,350.00 ",85.29%,,$0.00 ,$0.00 
,Sell,4/10/2014 11:00,_LX..,@ES,"$1,798.75 ",,"$2,100.00 ","$22,150.00 ",,($750.00),55.88%,41.18%,$0.00 ,$0.00 
80,Buy,4/14/2014 11:00,Easy_LE,@ES,"$1,770.50 ",$0.00 ,4,($650.00),-0.18%,"$2,050.00 ",35.96%,,$0.00 ,$0.00 
